data,pedido_id,cliente,cidade,estado,regiao,produto,categoria,vendedor,canal_venda,quantidade,preco_unitario,custo_unitario,status_pagamento
2025-05-23,PED-00020,Cliente 293,Curitiba,PR,Sul,Suporte Notebook,Acessórios,Fernanda Alves,Marketplace,4,157.49,86.87,Pago
2025-04-08,PED-00021,Cliente 217,Recife,PE,Nordeste,Mouse Sem Fio,Acessórios,Diego Rocha,Marketplace,7,115.52,63.44,Cancelado
2025-11-27,PED-00022,Cliente 056,Natal,RN,Nordeste,Mouse Sem Fio,Acessórios,Bruno Costa,E-commerce,7,108.08,66.26,Pago
2025-04-04,PED-00023,Cliente 227,Curitiba,PR,Sul,Cadeira Office,Móveis,Fernanda Alves,Loja física,4,945.76,658.75,Pago
2025-02-17,PED-00024,Cliente 247,Fortaleza,CE,Nordeste,Monitor 27,Eletrônicos,Bruno Costa,Marketplace,7,1294.43,968.35,Pago
2025-07-19,PED-00025,Cliente 285,Curitiba,PR,Sul,Cadeira Office,Móveis,Lucas Martins,Marketplace,5,860.37,611.61,Pago
2025-10-24,PED-00026,Cliente 030,Florianópolis,SC,Sul,Armário Escritório,Móveis,Ana Lima,Representante,1,806.55,578.41,Pendente
2025-03-22,PED-00027,Cliente 036,Florianópolis,SC,Sul,Notebook Pro 14,Eletrônicos,Fernanda Alves,Loja física,2,4315.59,3087.2,Pago
2025-10-19,PED-00028,Cliente 215,Porto Alegre,RS,Sul,Monitor 27,Eletrônicos,Lucas Martins,Representante,1,1473.96,984.7,Pago
2025-04-15,PED-00029,Cliente 136,Goiânia,GO,Centro-Oeste,Suporte Notebook,Acessórios,Diego Rocha,E-commerce,6,159.42,85.25,Pago
2026-01-20,PED-00030,Cliente 038,Natal,RN,Nordeste,Mouse Sem Fio,Acessórios,Fernanda Alves,E-commerce,8,121.27,64.0,Pago
2026-03-28,PED-00031,Cliente 081,Salvador,BA,Nordeste,Mouse Sem Fio,Acessórios,Diego Rocha,Representante,6,117.46,67.42,Cancelado
2025-09-28,PED-00032,Cliente 069,Brasília,DF,Centro-Oeste,Notebook Pro 14,Eletrônicos,Carla Souza,Loja física,5,4405.68,3260.16,Pago
2025-05-20,PED-00033,Cliente 105,Porto Alegre,RS,Sul,Cadeira Office,Móveis,Lucas Martins,WhatsApp,4,911.1,608.55,Pago
2025-02-17,PED-00034,Cliente 002,Belo Horizonte,MG,Sudeste,Suporte Notebook,Acessórios,Carla Souza,E-commerce,5,163.79,84.9,Cancelado
2025-08-15,PED-00035,Cliente 058,Goiânia,GO,Centro-Oeste,Webcam Full HD,Acessórios,Ana Lima,E-commerce,7,263.79,148.65,Pendente
2025-10-10,PED-00036,Cliente 158,Belo Horizonte,MG,Sudeste,Teclado Mecânico,Acessórios,Carla Souza,Loja física,3,367.46,208.55,Pago
2025-12-08,PED-00037,Cliente 122,Rio de Janeiro,RJ,Sudeste,Mouse Sem Fio,Acessórios,Bruno Costa,E-commerce,7,125.78,63.23,Cancelado
2025-06-20,PED-00038,Cliente 082,Brasília,DF,Centro-Oeste,Headset Premium,Acessórios,Lucas Martins,Loja física,4,464.69,272.79,Pago
2025-04-24,PED-00039,Cliente 117,Curitiba,PR,Sul,Monitor 27,Eletrônicos,Bruno Costa,Loja física,6,1413.32,993.55,Pago
2026-03-19,PED-00040,Cliente 275,São Paulo,SP,Sudeste,Mouse Sem Fio,Acessórios,Carla Souza,Loja física,6,104.93,69.99,Pago
2025-10-25,PED-00041,Cliente 177,Natal,RN,Nordeste,Cadeira Office,Móveis,Lucas Martins,WhatsApp,2,885.21,657.74,Pago
2025-07-17,PED-00042,Cliente 224,Salvador,BA,Nordeste,Impressora Laser,Eletrônicos,Ana Lima,Representante,5,1157.81,802.8,Cancelado
2026-01-15,PED-00043,Cliente 221,Brasília,DF,Centro-Oeste,Armário Escritório,Móveis,Ana Lima,WhatsApp,4,818.26,563.21,Pago
2026-01-04,PED-00044,Cliente 168,Florianópolis,SC,Sul,Cadeira Office,Móveis,Diego Rocha,WhatsApp,5,895.62,604.57,Cancelado
2025-07-14,PED-00045,Cliente 208,Goiânia,GO,Centro-Oeste,Suporte Notebook,Acessórios,Fernanda Alves,Loja física,3,150.54,84.42,Pendente
2025-11-07,PED-00046,Cliente 227,Rio de Janeiro,RJ,Sudeste,Suporte Notebook,Acessórios,Lucas Martins,E-commerce,8,137.51,89.87,Cancelado
2025-03-28,PED-00047,Cliente 048,Recife,PE,Nordeste,Suporte Notebook,Acessórios,Bruno Costa,WhatsApp,5,144.62,84.31,Pago
2025-01-24,PED-00048,Cliente 213,Curitiba,PR,Sul,Monitor 27,Eletrônicos,Lucas Martins,Representante,2,1207.16,1025.67,Pago
2025-07-24,PED-00049,Cliente 218,Fortaleza,CE,Nordeste,Monitor 27,Eletrônicos,Bruno Costa,E-commerce,1,1508.6,1025.62,Pago
2025-01-26,PED-00050,Cliente 069,Salvador,BA,Nordeste,Webcam Full HD,Acessórios,Diego Rocha,Representante,2,233.99,144.97,Pago
2025-11-10,PED-00051,Cliente 082,Florianópolis,SC,Sul,Armário Escritório,Móveis,Lucas Martins,Marketplace,7,743.2,568.46,Cancelado
2025-05-22,PED-00052,Cliente 226,Curitiba,PR,Sul,Webcam Full HD,Acessórios,Ana Lima,WhatsApp,4,242.91,140.97,Pendente
2025-02-11,PED-00053,Cliente 079,Fortaleza,CE,Nordeste,Teclado Mecânico,Acessórios,Lucas Martins,E-commerce,4,304.42,213.12,Pendente
2025-08-27,PED-00054,Cliente 200,Natal,RN,Nordeste,Headset Premium,Acessórios,Fernanda Alves,Loja física,4,461.14,295.18,Pago
2025-09-02,PED-00055,Cliente 215,Rio de Janeiro,RJ,Sudeste,Notebook Pro 14,Eletrônicos,Fernanda Alves,Representante,5,3931.15,3313.15,Pago
2025-04-23,PED-00056,Cliente 200,Belo Horizonte,MG,Sudeste,Cadeira Office,Móveis,Carla Souza,Marketplace,8,1011.77,648.1,Pago
2025-11-15,PED-00057,Cliente 043,Natal,RN,Nordeste,Webcam Full HD,Acessórios,Lucas Martins,Marketplace,7,253.13,142.91,Pago
2025-05-14,PED-00058,Cliente 168,Rio de Janeiro,RJ,Sudeste,Headset Premium,Acessórios,Carla Souza,Marketplace,4,411.43,300.9,Pago
2025-05-10,PED-00059,Cliente 180,Curitiba,PR,Sul,Mouse Sem Fio,Acessórios,Bruno Costa,Loja física,1,124.57,67.71,Pago
2025-05-07,PED-00060,Cliente 065,Natal,RN,Nordeste,Monitor 27,Eletrônicos,Diego Rocha,Loja física,3,1429.56,974.1,Cancelado
2025-05-12,PED-00061,Cliente 160,Fortaleza,CE,Nordeste,Mesa Gamer,Móveis,Ana Lima,Representante,2,1203.21,793.41,Cancelado
2025-07-12,PED-00062,Cliente 304,Goiânia,GO,Centro-Oeste,Headset Premium,Acessórios,Lucas Martins,E-commerce,4,475.39,295.39,Cancelado
2025-11-04,PED-00063,Cliente 273,Porto Alegre,RS,Sul,Mouse Sem Fio,Acessórios,Diego Rocha,WhatsApp,1,106.75,67.68,Pago
2026-03-11,PED-00064,Cliente 186,Curitiba,PR,Sul,Headset Premium,Acessórios,Lucas Martins,Marketplace,2,454.55,285.01,Cancelado
2025-09-25,PED-00065,Cliente 224,São Paulo,SP,Sudeste,Suporte Notebook,Acessórios,Lucas Martins,Representante,8,134.21,90.41,Pago
2025-05-23,PED-00066,Cliente 173,Salvador,BA,Nordeste,Smartphone X,Eletrônicos,Ana Lima,Marketplace,8,3386.11,2673.01,Pago
2025-07-01,PED-00067,Cliente 285,Rio de Janeiro,RJ,Sudeste,Cadeira Office,Móveis,Ana Lima,Representante,5,982.02,597.44,Cancelado
2025-07-28,PED-00068,Cliente 252,Florianópolis,SC,Sul,Smartphone X,Eletrônicos,Diego Rocha,Loja física,4,2966.07,2684.81,Cancelado
2025-05-05,PED-00069,Cliente 284,Brasília,DF,Centro-Oeste,Cadeira Office,Móveis,Fernanda Alves,WhatsApp,6,835.12,641.75,Pago
2025-06-30,PED-00070,Cliente 129,Curitiba,PR,Sul,Armário Escritório,Móveis,Bruno Costa,Loja física,5,853.05,542.54,Cancelado
2025-10-02,PED-00071,Cliente 248,Fortaleza,CE,Nordeste,Armário Escritório,Móveis,Carla Souza,Representante,4,892.56,554.96,Pago
2025-02-21,PED-00072,Cliente 092,São Paulo,SP,Sudeste,Monitor 27,Eletrônicos,Carla Souza,Loja física,4,1375.09,964.25,Pago
2025-01-28,PED-00073,Cliente 053,São Paulo,SP,Sudeste,Webcam Full HD,Acessórios,Ana Lima,Representante,3,218.44,143.17,Pago
2025-04-05,PED-00074,Cliente 034,São Paulo,SP,Sudeste,Notebook Pro 14,Eletrônicos,Diego Rocha,Marketplace,8,4063.11,3221.64,Pago
2025-03-19,PED-00075,Cliente 128,Porto Alegre,RS,Sul,Teclado Mecânico,Acessórios,Ana Lima,Representante,5,362.76,217.71,Pendente
2025-04-26,PED-00076,Cliente 153,Belo Horizonte,MG,Sudeste,Webcam Full HD,Acessórios,Fernanda Alves,Marketplace,8,218.91,145.36,Pendente
2026-01-14,PED-00077,Cliente 042,Salvador,BA,Nordeste,Mouse Sem Fio,Acessórios,Bruno Costa,E-commerce,4,111.42,63.59,Pago
2025-07-29,PED-00078,Cliente 017,Goiânia,GO,Centro-Oeste,Smartphone X,Eletrônicos,Bruno Costa,WhatsApp,8,3524.98,2827.79,Pago
2025-02-06,PED-00079,Cliente 218,Salvador,BA,Nordeste,Suporte Notebook,Acessórios,Ana Lima,Representante,5,152.48,83.84,Pago
2026-02-28,PED-00080,Cliente 158,Recife,PE,Nordeste,Teclado Mecânico,Acessórios,Fernanda Alves,Representante,1,368.24,213.84,Pago
2025-12-19,PED-00081,Cliente 257,Goiânia,GO,Centro-Oeste,Cadeira Office,Móveis,Fernanda Alves,Marketplace,7,934.52,631.83,Pago
2026-01-12,PED-00082,Cliente 047,Porto Alegre,RS,Sul,Mesa Gamer,Móveis,Bruno Costa,Representante,5,1273.39,768.1,Cancelado
2026-02-25,PED-00083,Cliente 241,Porto Alegre,RS,Sul,Cadeira Office,Móveis,Fernanda Alves,Marketplace,1,1030.58,603.88,Pendente
2025-08-12,PED-00084,Cliente 179,Curitiba,PR,Sul,Suporte Notebook,Acessórios,Diego Rocha,WhatsApp,2,134.93,83.43,Pago
2025-06-18,PED-00085,Cliente 206,Goiânia,GO,Centro-Oeste,Headset Premium,Acessórios,Fernanda Alves,Loja física,8,468.05,281.29,Pago
2025-03-01,PED-00086,Cliente 212,Florianópolis,SC,Sul,Headset Premium,Acessórios,Ana Lima,E-commerce,1,421.43,290.78,Pago
2025-11-17,PED-00087,Cliente 282,Natal,RN,Nordeste,Smartphone X,Eletrônicos,Bruno Costa,WhatsApp,4,3433.04,2826.38,Pago
2025-01-15,PED-00088,Cliente 160,Porto Alegre,RS,Sul,Suporte Notebook,Acessórios,Fernanda Alves,Loja física,4,162.44,83.32,Pago
2025-08-25,PED-00089,Cliente 150,Brasília,DF,Centro-Oeste,Mouse Sem Fio,Acessórios,Fernanda Alves,WhatsApp,3,102.16,66.5,Pago
2025-05-05,PED-00090,Cliente 098,Florianópolis,SC,Sul,Smartphone X,Eletrônicos,Fernanda Alves,Representante,3,3352.2,2659.54,Pago
2025-05-22,PED-00091,Cliente 145,Rio de Janeiro,RJ,Sudeste,Headset Premium,Acessórios,Lucas Martins,WhatsApp,5,511.44,289.46,Cancelado
2025-09-08,PED-00092,Cliente 171,Curitiba,PR,Sul,Teclado Mecânico,Acessórios,Fernanda Alves,Representante,8,321.27,225.25,Pago
2025-12-24,PED-00093,Cliente 211,Porto Alegre,RS,Sul,Monitor 27,Eletrônicos,Ana Lima,WhatsApp,7,1454.98,1026.62,Pago
2025-07-17,PED-00094,Cliente 019,Brasília,DF,Centro-Oeste,Suporte Notebook,Acessórios,Bruno Costa,Representante,3,143.69,85.55,Pago
2026-03-24,PED-00095,Cliente 074,Recife,PE,Nordeste,Smartphone X,Eletrônicos,Diego Rocha,E-commerce,8,3482.94,2851.11,Pago
2025-06-23,PED-00096,Cliente 169,Goiânia,GO,Centro-Oeste,Impressora Laser,Eletrônicos,Lucas Martins,Representante,7,1097.8,783.77,Cancelado
2026-03-31,PED-00097,Cliente 121,Florianópolis,SC,Sul,Smartphone X,Eletrônicos,Lucas Martins,WhatsApp,1,3815.07,2840.79,Pago
2025-02-20,PED-00098,Cliente 086,Goiânia,GO,Centro-Oeste,Suporte Notebook,Acessórios,Lucas Martins,WhatsApp,2,142.85,82.88,Pago
2025-05-31,PED-00099,Cliente 126,Rio de Janeiro,RJ,Sudeste,Mesa Gamer,Móveis,Fernanda Alves,Marketplace,7,1270.74,835.17,Pago
2025-03-31,PED-00100,Cliente 255,Porto Alegre,RS,Sul,Mouse Sem Fio,Acessórios,Fernanda Alves,E-commerce,7,114.45,67.61,Pago
2025-05-11,PED-00101,Cliente 280,Natal,RN,Nordeste,Suporte Notebook,Acessórios,Bruno Costa,Loja física,8,152.63,85.68,Pendente
2025-06-03,PED-00102,Cliente 155,Belo Horizonte,MG,Sudeste,Suporte Notebook,Acessórios,Bruno Costa,Marketplace,5,142.17,83.45,Pago
2025-10-20,PED-00103,Cliente 012,Porto Alegre,RS,Sul,Mesa Gamer,Móveis,Lucas Martins,Marketplace,5,1172.59,815.48,Cancelado
2026-02-03,PED-00104,Cliente 118,Natal,RN,Nordeste,Armário Escritório,Móveis,Fernanda Alves,WhatsApp,8,811.54,535.09,Pago
2025-12-14,PED-00105,Cliente 021,Brasília,DF,Centro-Oeste,Armário Escritório,Móveis,Carla Souza,Marketplace,3,838.1,545.47,Pago
2025-02-16,PED-00106,Cliente 103,Rio de Janeiro,RJ,Sudeste,Cadeira Office,Móveis,Bruno Costa,Representante,7,1026.69,616.25,Pendente
2025-05-20,PED-00107,Cliente 174,São Paulo,SP,Sudeste,Teclado Mecânico,Acessórios,Ana Lima,Marketplace,8,351.22,206.95,Pago
2026-03-17,PED-00108,Cliente 047,Goiânia,GO,Centro-Oeste,Suporte Notebook,Acessórios,Diego Rocha,Loja física,7,145.2,83.61,Pago
2025-12-11,PED-00109,Cliente 191,Brasília,DF,Centro-Oeste,Armário Escritório,Móveis,Ana Lima,E-commerce,5,788.6,560.6,Pendente
2025-06-17,PED-00110,Cliente 155,Salvador,BA,Nordeste,Impressora Laser,Eletrônicos,Lucas Martins,Marketplace,2,908.51,760.49,Pago
2025-06-05,PED-00111,Cliente 276,Recife,PE,Nordeste,Smartphone X,Eletrônicos,Bruno Costa,Marketplace,2,3510.73,2818.13,Cancelado
2025-12-23,PED-00112,Cliente 051,Belo Horizonte,MG,Sudeste,Webcam Full HD,Acessórios,Diego Rocha,Representante,3,234.19,150.45,Pago
2025-12-20,PED-00113,Cliente 121,Salvador,BA,Nordeste,Mesa Gamer,Móveis,Carla Souza,Loja física,8,1124.22,798.22,Cancelado
2025-07-03,PED-00114,Cliente 063,Belo Horizonte,MG,Sudeste,Notebook Pro 14,Eletrônicos,Diego Rocha,Loja física,5,4181.05,3225.82,Pendente
2025-01-11,PED-00115,Cliente 290,Rio de Janeiro,RJ,Sudeste,Notebook Pro 14,Eletrônicos,Bruno Costa,Loja física,4,4380.52,3195.98,Pendente
2025-04-21,PED-00116,Cliente 142,Rio de Janeiro,RJ,Sudeste,Monitor 27,Eletrônicos,Bruno Costa,E-commerce,3,1470.33,1036.68,Pago
2025-12-05,PED-00117,Cliente 122,Fortaleza,CE,Nordeste,Notebook Pro 14,Eletrônicos,Fernanda Alves,WhatsApp,1,3715.54,3097.49,Pago
2026-01-15,PED-00118,Cliente 244,Florianópolis,SC,Sul,Headset Premium,Acessórios,Diego Rocha,WhatsApp,2,495.55,274.96,Pendente
2025-04-24,PED-00119,Cliente 016,Natal,RN,Nordeste,Impressora Laser,Eletrônicos,Ana Lima,Marketplace,5,976.82,793.17,Pago
2025-09-09,PED-00120,Cliente 165,Curitiba,PR,Sul,Armário Escritório,Móveis,Fernanda Alves,E-commerce,2,840.91,540.14,Cancelado
2025-10-27,PED-00121,Cliente 306,Goiânia,GO,Centro-Oeste,Webcam Full HD,Acessórios,Fernanda Alves,WhatsApp,6,235.26,145.12,Pago
2026-02-11,PED-00122,Cliente 232,Recife,PE,Nordeste,Armário Escritório,Móveis,Bruno Costa,Marketplace,4,778.22,550.74,Pago
2026-01-09,PED-00123,Cliente 131,Rio de Janeiro,RJ,Sudeste,Mouse Sem Fio,Acessórios,Carla Souza,E-commerce,7,113.57,66.44,Pago
2026-03-02,PED-00124,Cliente 191,Recife,PE,Nordeste,Mouse Sem Fio,Acessórios,Bruno Costa,Representante,7,115.92,69.89,Pendente
2025-06-18,PED-00125,Cliente 217,Recife,PE,Nordeste,Suporte Notebook,Acessórios,Lucas Martins,Loja física,7,155.57,88.06,Pago
2025-02-23,PED-00126,Cliente 247,Florianópolis,SC,Sul,Impressora Laser,Eletrônicos,Bruno Costa,Loja física,4,1094.51,804.33,Pago
2026-01-26,PED-00127,Cliente 288,Porto Alegre,RS,Sul,Cadeira Office,Móveis,Fernanda Alves,Representante,4,906.25,629.06,Pendente
2025-12-03,PED-00128,Cliente 140,São Paulo,SP,Sudeste,Armário Escritório,Móveis,Lucas Martins,WhatsApp,1,915.37,544.65,Pago
2026-03-22,PED-00129,Cliente 073,Porto Alegre,RS,Sul,Teclado Mecânico,Acessórios,Lucas Martins,Loja física,7,339.21,215.95,Pago
2025-08-03,PED-00130,Cliente 160,Rio de Janeiro,RJ,Sudeste,Smartphone X,Eletrônicos,Lucas Martins,WhatsApp,3,3436.81,2787.58,Pago
2026-03-29,PED-00131,Cliente 042,Fortaleza,CE,Nordeste,Notebook Pro 14,Eletrônicos,Carla Souza,Marketplace,3,4310.01,3172.61,Pago
2025-08-01,PED-00132,Cliente 221,Salvador,BA,Nordeste,Cadeira Office,Móveis,Ana Lima,WhatsApp,2,926.68,631.5,Pendente
2025-12-08,PED-00133,Cliente 307,Natal,RN,Nordeste,Cadeira Office,Móveis,Ana Lima,Loja física,4,864.75,655.13,Pago
2026-01-27,PED-00134,Cliente 004,São Paulo,SP,Sudeste,Cadeira Office,Móveis,Diego Rocha,Marketplace,6,958.02,617.21,Cancelado
2025-04-28,PED-00135,Cliente 204,Florianópolis,SC,Sul,Webcam Full HD,Acessórios,Lucas Martins,Loja física,6,260.94,142.88,Pago
2026-03-18,PED-00136,Cliente 214,Porto Alegre,RS,Sul,Mesa Gamer,Móveis,Carla Souza,Loja física,7,1125.57,850.26,Pago
2026-02-15,PED-00137,Cliente 224,Curitiba,PR,Sul,Impressora Laser,Eletrônicos,Ana Lima,E-commerce,6,1103.92,790.96,Pago
2025-07-22,PED-00138,Cliente 171,Goiânia,GO,Centro-Oeste,Cadeira Office,Móveis,Bruno Costa,Loja física,6,961.1,599.35,Pendente
2025-04-10,PED-00139,Cliente 053,Rio de Janeiro,RJ,Sudeste,Mesa Gamer,Móveis,Bruno Costa,WhatsApp,3,1187.92,818.65,Cancelado
2025-02-08,PED-00140,Cliente 289,Brasília,DF,Centro-Oeste,Teclado Mecânico,Acessórios,Fernanda Alves,Marketplace,8,305.86,224.08,Cancelado
2025-11-22,PED-00141,Cliente 226,Rio de Janeiro,RJ,Sudeste,Impressora Laser,Eletrônicos,Ana Lima,Marketplace,6,1104.64,782.58,Pago
2025-10-30,PED-00142,Cliente 237,Rio de Janeiro,RJ,Sudeste,Notebook Pro 14,Eletrônicos,Diego Rocha,Loja física,2,3853.1,3290.61,Pago
2025-11-27,PED-00143,Cliente 298,Porto Alegre,RS,Sul,Mouse Sem Fio,Acessórios,Fernanda Alves,Loja física,7,102.51,68.84,Cancelado
2025-04-07,PED-00144,Cliente 032,Porto Alegre,RS,Sul,Mesa Gamer,Móveis,Diego Rocha,Loja física,8,1301.37,839.07,Cancelado
2025-02-13,PED-00145,Cliente 127,Brasília,DF,Centro-Oeste,Webcam Full HD,Acessórios,Lucas Martins,Marketplace,3,275.37,143.87,Pendente
2025-03-23,PED-00146,Cliente 210,Rio de Janeiro,RJ,Sudeste,Mesa Gamer,Móveis,Carla Souza,Representante,5,1085.89,821.12,Pago
2025-02-03,PED-00147,Cliente 130,Recife,PE,Nordeste,Mesa Gamer,Móveis,Lucas Martins,Representante,7,1243.7,795.27,Pendente
2025-12-06,PED-00148,Cliente 067,Rio de Janeiro,RJ,Sudeste,Teclado Mecânico,Acessórios,Fernanda Alves,Loja física,5,312.15,212.4,Pago
2026-02-21,PED-00149,Cliente 261,Brasília,DF,Centro-Oeste,Teclado Mecânico,Acessórios,Carla Souza,Loja física,2,313.82,207.86,Pago
2025-06-24,PED-00150,Cliente 080,Salvador,BA,Nordeste,Smartphone X,Eletrônicos,Ana Lima,WhatsApp,4,3759.99,2649.04,Pendente
2026-03-04,PED-00151,Cliente 317,Florianópolis,SC,Sul,Armário Escritório,Móveis,Bruno Costa,Representante,1,798.54,533.44,Cancelado
2026-01-30,PED-00152,Cliente 211,Fortaleza,CE,Nordeste,Impressora Laser,Eletrônicos,Carla Souza,E-commerce,8,1162.65,808.99,Cancelado
2026-02-06,PED-00153,Cliente 241,Salvador,BA,Nordeste,Smartphone X,Eletrônicos,Bruno Costa,WhatsApp,4,3515.18,2788.41,Pago
2025-08-25,PED-00154,Cliente 103,Belo Horizonte,MG,Sudeste,Cadeira Office,Móveis,Fernanda Alves,E-commerce,7,1026.35,595.2,Pago
2026-03-24,PED-00155,Cliente 146,Florianópolis,SC,Sul,Mesa Gamer,Móveis,Ana Lima,E-commerce,2,1234.1,844.97,Pago
2026-03-02,PED-00156,Cliente 179,Recife,PE,Nordeste,Headset Premium,Acessórios,Ana Lima,Marketplace,4,402.06,287.06,Pago
2025-07-17,PED-00157,Cliente 164,Rio de Janeiro,RJ,Sudeste,Mouse Sem Fio,Acessórios,Ana Lima,WhatsApp,4,124.7,64.03,Pago
2026-03-01,PED-00158,Cliente 230,Goiânia,GO,Centro-Oeste,Smartphone X,Eletrônicos,Fernanda Alves,Loja física,3,3214.79,2624.64,Pago
2026-03-04,PED-00159,Cliente 148,Florianópolis,SC,Sul,Teclado Mecânico,Acessórios,Bruno Costa,WhatsApp,7,340.26,209.21,Cancelado
2026-02-11,PED-00160,Cliente 256,Curitiba,PR,Sul,Impressora Laser,Eletrônicos,Fernanda Alves,Representante,2,1057.81,800.82,Pago
2026-01-03,PED-00161,Cliente 315,São Paulo,SP,Sudeste,Teclado Mecânico,Acessórios,Carla Souza,E-commerce,7,355.97,208.03,Cancelado
2025-02-13,PED-00162,Cliente 200,Rio de Janeiro,RJ,Sudeste,Webcam Full HD,Acessórios,Diego Rocha,Loja física,2,266.13,150.91,Pago
2026-01-18,PED-00163,Cliente 124,Rio de Janeiro,RJ,Sudeste,Notebook Pro 14,Eletrônicos,Lucas Martins,Loja física,2,4007.55,3257.7,Pago
2025-03-10,PED-00164,Cliente 238,Rio de Janeiro,RJ,Sudeste,Notebook Pro 14,Eletrônicos,Lucas Martins,Marketplace,6,4297.33,3283.72,Pago
2026-01-02,PED-00165,Cliente 023,Natal,RN,Nordeste,Smartphone X,Eletrônicos,Bruno Costa,Loja física,5,3462.53,2711.09,Pago
2026-02-22,PED-00166,Cliente 098,Curitiba,PR,Sul,Webcam Full HD,Acessórios,Carla Souza,WhatsApp,5,272.02,136.54,Cancelado
2025-06-19,PED-00167,Cliente 205,Recife,PE,Nordeste,Cadeira Office,Móveis,Lucas Martins,Marketplace,6,925.63,617.64,Pago
2025-09-12,PED-00168,Cliente 043,Curitiba,PR,Sul,Armário Escritório,Móveis,Lucas Martins,Marketplace,6,799.96,559.59,Pago
2025-10-07,PED-00169,Cliente 168,Rio de Janeiro,RJ,Sudeste,Cadeira Office,Móveis,Lucas Martins,WhatsApp,2,970.84,632.14,Pago
2025-03-27,PED-00170,Cliente 022,Curitiba,PR,Sul,Armário Escritório,Móveis,Lucas Martins,WhatsApp,6,755.39,549.64,Cancelado
2026-02-10,PED-00171,Cliente 263,Recife,PE,Nordeste,Notebook Pro 14,Eletrônicos,Lucas Martins,E-commerce,7,4077.6,3055.69,Pendente
2025-12-14,PED-00172,Cliente 121,Natal,RN,Nordeste,Smartphone X,Eletrônicos,Lucas Martins,WhatsApp,3,3586.37,2900.99,Pago
2025-11-06,PED-00173,Cliente 191,Brasília,DF,Centro-Oeste,Teclado Mecânico,Acessórios,Diego Rocha,Loja física,8,327.6,215.93,Pago
2025-06-10,PED-00174,Cliente 014,São Paulo,SP,Sudeste,Suporte Notebook,Acessórios,Lucas Martins,E-commerce,4,161.58,86.07,Pendente
2025-03-02,PED-00175,Cliente 314,São Paulo,SP,Sudeste,Cadeira Office,Móveis,Carla Souza,Marketplace,8,931.6,600.81,Pago
